What is the average central corneal thickness? ||| About 540 micrometers
Quick question: what is an Abbe number? ||| A measure of optical dispersion; higher means less chromatic aberration
Exam prep: what is an Abbe number? ||| A measure of optical dispersion; higher means less chromatic aberration
What is an Abbe number? (A) Epicanthal (B) A measure of optical dispersion; higher means less chromatic aberration (C) rigidity (D) doubled ||| B
What is an Abbe number? (A) alternating (B) 120 million (C) A measure of optical dispersion; higher means less chromatic aberration (D) strongest plus ||| C
True or false: The Abbe number measures dispersion, and higher values mean less chromatic aberration. ||| true
True or false: The Abbe number measures 1 millimeter, and higher values mean less chromatic aberration. ||| false
Fill in the blank: The Abbe number measures ____, and higher values mean less chromatic aberration. ||| dispersion
What is the Abbe value of CR-39? ||| About 58
Quick question: what is the Abbe value of CR-39? ||| About 58
Exam prep: what is the Abbe value of CR-39? ||| About 58
What is the Abbe value of CR-39? (A) About 58 (B) Blood (C) Hypoxia (D) hyperopia ||| A
What is the Abbe value of CR-39? (A) Six (B) doubled (C) family history (D) About 58 ||| D
True or false: CR-39 has an Abbe value of about 58. ||| true
True or false: CR-39 has an Abbe value of about facial. ||| false
Fill in the blank: CR-39 has an Abbe value of about ____. ||| 58
What is the Abbe value of polycarbonate? ||| About 30
Quick question: what is the Abbe value of polycarbonate? ||| About 30
Exam prep: what is the Abbe value of polycarbonate? ||| About 30
What is the Abbe value of polycarbonate? (A) before 6 months (B) About 30 (C) coherence (D) HOTV ||| B
What is the Abbe value of polycarbonate? (A) About 30 (B) 15 to 20 (C) Thin (D) dispersion ||| A
True or false: Polycarbonate has an Abbe value of about 30. ||| true
True or false: Polycarbonate has an Abbe value of about Proparacaine. ||| false
Fill in the blank: Polycarbonate has an Abbe value of about ____. ||| 30
What is the highest common spectacle lens index? ||| 1.74
Quick question: what is the highest common spectacle lens index? ||| 1.74
Exam prep: what is the highest common spectacle lens index? ||| 1.74
What is the highest common spectacle lens index? (A) dilator (B) Axis (C) depth of focus (D) 1.74 ||| D
What is the highest common spectacle lens index? (A) Amoxicillin (B) 1.74 (C) cover test (D) abscess ||| B
True or false: The highest common lens index is 1.74. ||| true
True or false: The highest common lens index is trochlear. ||| false
Fill in the blank: The highest common lens index is ____. ||| 1.74
Why do prisms displace images without changing size? ||| Prisms deviate light toward their base so the image shifts toward the apex
Quick question: why do prisms displace images without changing size? ||| Prisms deviate light toward their base so the image shifts toward the apex
Exam prep: why do prisms displace images without changing size? ||| Prisms deviate light toward their base so the image shifts toward the apex
Why do prisms displace images without changing size? (A) -2.25 (B) tear layer (C) Prisms deviate light toward their base so the image shifts toward the apex (D) Fatigable ||| C
Why do prisms displace images without changing size? (A) Prisms deviate light toward their base so the image shifts toward the apex (B) Cyclophosphamide (C) infarction (D) 90 to 240 ||| A
True or false: A prism deviates light toward its base and the seen image shifts toward its apex. ||| true
True or false: A prism deviates light toward its base and the seen image shifts toward its 0.5 to 1. ||| false
Fill in the blank: A prism deviates light toward its base and the seen image shifts toward its ____. ||| apex
Which direction is a compensating prism placed to correct a right hyperphoria? ||| Base down before the right eye or base up before the left
Quick question: which direction is a compensating prism placed to correct a right hyperphoria? ||| Base down before the right eye or base up before the left
Exam prep: which direction is a compensating prism placed to correct a right hyperphoria? ||| Base down before the right eye or base up before the left
Which direction is a compensating prism placed to correct a right hyperphoria? (A) intracranial hypertension (B) Base down before the right eye or base up before the left (C) cone density (D) coherence ||| B
Which direction is a compensating prism placed to correct a right hyperphoria? (A) Base down before the right eye or base up before the left (B) white cell (C) objective (D) Red ||| A
True or false: A right hyperphoria is compensated base down before the right eye or base up before the left. ||| true
True or false: A right hyperphoria is compensated Brimonidine before the right eye or base up before the left. ||| false
Fill in the blank: A right hyperphoria is compensated ____ before the right eye or base up before the left. ||| Base down
What is slab-off grinding used for? ||| Adding base-up prism to the more minus lens to cancel vertical imbalance at near
Quick question: what is slab-off grinding used for? ||| Adding base-up prism to the more minus lens to cancel vertical imbalance at near
Exam prep: what is slab-off grinding used for? ||| Adding base-up prism to the more minus lens to cancel vertical imbalance at near
What is slab-off grinding used for? (A) Thin (B) Adding base-up prism to the more minus lens to cancel vertical imbalance at near (C) Topiramate (D) Beta blockers ||| B
What is slab-off grinding used for? (A) Diplopia (B) Adding base-up prism to the more minus lens to cancel vertical imbalance at near (C) 20/200 (D) preauricular ||| B
True or false: Slab-off grinding adds base-up prism to the more minus lens to fix vertical imbalance. ||| true
True or false: Slab-off grinding adds base-up prism to the more minus lens to fix extraction. ||| false
Fill in the blank: Slab-off grinding adds base-up prism to the more minus lens to fix ____. ||| vertical imbalance
What is prism thinning in progressive lenses? ||| Base-down prism added to both lower lens halves to thin the lenses
Quick question: what is prism thinning in progressive lenses? ||| Base-down prism added to both lower lens halves to thin the lenses
Exam prep: what is prism thinning in progressive lenses? ||| Base-down prism added to both lower lens halves to thin the lenses
What is prism thinning in progressive lenses? (A) Base-down prism added to both lower lens halves to thin the lenses (B) Viral (C) Papillae (D) Lattice ||| A
What is prism thinning in progressive lenses? (A) Base-down prism added to both lower lens halves to thin the lenses (B) nicking (C) ciliary body (D) dilator ||| A
True or false: Prism thinning adds base-down prism to slim progressive lenses. ||| true
True or false: Prism thinning adds Tilt prism to slim progressive lenses. ||| false
Fill in the blank: Prism thinning adds ____ prism to slim progressive lenses. ||| Base-down
What is the average pantoscopic tilt of spectacles? ||| 8 to 12 degrees
Quick question: what is the average pantoscopic tilt of spectacles? ||| 8 to 12 degrees
Exam prep: what is the average pantoscopic tilt of spectacles? ||| 8 to 12 degrees
What is the average pantoscopic tilt of spectacles? (A) CN V1 (B) Arteriolar (C) 8 to 12 degrees (D) 250 ||| C
What is the average pantoscopic tilt of spectacles? (A) 8 to 12 degrees (B) fenofibrate (C) Ganciclovir (D) levator ||| A
True or false: Spectacles are fitted with about 8 to 12 degrees of pantoscopic tilt. ||| true
True or false: Spectacles are fitted with about Drift degrees of pantoscopic tilt. ||| false
Fill in the blank: Spectacles are fitted with about ____ degrees of pantoscopic tilt. ||| 8 to 12
What is decentration per lens? ||| Half the frame PD minus the monocular PD
Quick question: what is decentration per lens? ||| Half the frame PD minus the monocular PD
Exam prep: what is decentration per lens? ||| Half the frame PD minus the monocular PD
What is decentration per lens? (A) Ethambutol (B) Half the frame PD minus the monocular PD (C) Lissamine (D) Monocular ||| B
What is decentration per lens? (A) Apraclonidine (B) Nuclear (C) Glaucoma (D) Half the frame PD minus the monocular PD ||| D
True or false: Decentration per lens equals half the frame PD minus the monocular PD. ||| true
True or false: Decentration per lens equals Peripheral myopic defocus the frame PD minus the monocular PD. ||| false
Fill in the blank: Decentration per lens equals ____ the frame PD minus the monocular PD. ||| half
How much prism does 4 millimeters of decentration induce on a 5 diopter lens? ||| 2 prism diopters
Quick question: how much prism does 4 millimeters of decentration induce on a 5 diopter lens? ||| 2 prism diopters
Exam prep: how much prism does 4 millimeters of decentration induce on a 5 diopter lens? ||| 2 prism diopters
How much prism does 4 millimeters of decentration induce on a 5 diopter lens? (A) pathology (B) 2 prism diopters (C) goblet (D) rounds ||| B
How much prism does 4 millimeters of decentration induce on a 5 diopter lens? (A) choroid (B) +2.50 (C) before 8 (D) 2 prism diopters ||| D
True or false: Four millimeters of decentration on a 5 diopter lens induces 2 prism diopters by Prentice's rule. ||| true
True or false: Four millimeters of decentration on a 5 diopter lens induces Vogt prism diopters by Prentice's rule. ||| false
Fill in the blank: Four millimeters of decentration on a 5 diopter lens induces ____ prism diopters by Prentice's rule. ||| 2
At what image size difference does aniseikonia usually become symptomatic? ||| Around 3 percent
Quick question: at what image size difference does aniseikonia usually become symptomatic? ||| Around 3 percent
Exam prep: at what image size difference does aniseikonia usually become symptomatic? ||| Around 3 percent
At what image size difference does aniseikonia usually become symptomatic? (A) flame (B) Around 3 percent (C) disparity (D) infarction ||| B
At what image size difference does aniseikonia usually become symptomatic? (A) Around 3 percent (B) accommodative (C) field expansion (D) Ectropion ||| A
True or false: Aniseikonia usually becomes symptomatic near a 3 percent image size difference. ||| true
True or false: Aniseikonia usually becomes symptomatic near a increases image size difference. ||| false
Fill in the blank: Aniseikonia usually becomes symptomatic near a ____ image size difference. ||| 3 percent
How do contact lenses change retinal image size for myopes compared with spectacles? ||| They give myopes a larger retinal image than spectacles
Quick question: how do contact lenses change retinal image size for myopes compared with spectacles? ||| They give myopes a larger retinal image than spectacles
Exam prep: how do contact lenses change retinal image size for myopes compared with spectacles? ||| They give myopes a larger retinal image than spectacles
How do contact lenses change retinal image size for myopes compared with spectacles? (A) They give myopes a larger retinal image than spectacles (B) Anisocoria (C) flare (D) Lisch ||| A
How do contact lenses change retinal image size for myopes compared with spectacles? (A) field of view (B) Prentice (C) Scleritis (D) They give myopes a larger retinal image than spectacles ||| D
True or false: Contact lenses give myopes a larger retinal image than spectacles do. ||| true
True or false: Contact lenses give myopes a Thick retinal image than spectacles do. ||| false
Fill in the blank: Contact lenses give myopes a ____ retinal image than spectacles do. ||| larger
What is jack-in-the-box effect? ||| Ring scotoma of high plus or minus lenses making objects pop in and out of view
Quick question: what is jack-in-the-box effect? ||| Ring scotoma of high plus or minus lenses making objects pop in and out of view
Exam prep: what is jack-in-the-box effect? ||| Ring scotoma of high plus or minus lenses making objects pop in and out of view
What is jack-in-the-box effect? (A) Red (B) 10 to 21 (C) Ring scotoma of high plus or minus lenses making objects pop in and out of view (D) 3 percent ||| C
What is jack-in-the-box effect? (A) Ring scotoma of high plus or minus lenses making objects pop in and out of view (B) Extorsion (C) Fourth generation (D) Inferior rectus ||| A
True or false: High powered lenses create a ring scotoma that causes the jack-in-the-box effect. ||| true
True or false: High powered lenses create a difference that causes the jack-in-the-box effect. ||| false
Fill in the blank: High powered lenses create a ____ that causes the jack-in-the-box effect. ||| Ring scotoma
What is the base curve rule of thumb for plus lenses, Vogel's rule? ||| Base curve equals the spherical equivalent plus 6 diopters
Quick question: what is the base curve rule of thumb for plus lenses, Vogel's rule? ||| Base curve equals the spherical equivalent plus 6 diopters
Exam prep: what is the base curve rule of thumb for plus lenses, Vogel's rule? ||| Base curve equals the spherical equivalent plus 6 diopters
What is the base curve rule of thumb for plus lenses, Vogel's rule? (A) trabecular meshwork (B) Galactosemia (C) Base curve equals the spherical equivalent plus 6 diopters (D) 2.00 ||| C
What is the base curve rule of thumb for plus lenses, Vogel's rule? (A) 1.50 (B) giant papillary (C) Base curve equals the spherical equivalent plus 6 diopters (D) Contact lenses ||| C
True or false: Vogel's rule for plus lenses sets the base curve at the spherical equivalent plus 6 diopters. ||| true
True or false: Vogel's rule for plus lenses sets the base curve at the spherical equivalent Angle depth diopters. ||| false
Fill in the blank: Vogel's rule for plus lenses sets the base curve at the spherical equivalent ____ diopters. ||| plus 6
What does the add power of a presbyopic lens represent? ||| The extra plus power needed at near beyond distance correction
Quick question: what does the add power of a presbyopic lens represent? ||| The extra plus power needed at near beyond distance correction
Exam prep: what does the add power of a presbyopic lens represent? ||| The extra plus power needed at near beyond distance correction
What does the add power of a presbyopic lens represent? (A) vertex (B) Ring scotoma (C) Epithelial (D) The extra plus power needed at near beyond distance correction ||| D
What does the add power of a presbyopic lens represent? (A) The extra plus power needed at near beyond distance correction (B) simultaneous (C) olopatadine (D) sulfa ||| A
True or false: The add is the extra plus power a presbyope needs at near. ||| true
True or false: The add is the Alpha-1 power a presbyope needs at near. ||| false
Fill in the blank: The add is the ____ power a presbyope needs at near. ||| extra plus
What is a rough rule for choosing a reading add? ||| Working distance demand minus half the remaining accommodative amplitude
Quick question: what is a rough rule for choosing a reading add? ||| Working distance demand minus half the remaining accommodative amplitude
Exam prep: what is a rough rule for choosing a reading add? ||| Working distance demand minus half the remaining accommodative amplitude
What is a rough rule for choosing a reading add? (A) Working distance demand minus half the remaining accommodative amplitude (B) avascular (C) Inferior rectus (D) Peripheral myopic defocus ||| A
What is a rough rule for choosing a reading add? (A) Epithelial (B) myopic (C) oscillation (D) Working distance demand minus half the remaining accommodative amplitude ||| D
True or false: A practical add is the dioptric working distance minus half the accommodative amplitude. ||| true
True or false: A practical add is the dioptric working distance minus over-plussing the accommodative amplitude. ||| false
Fill in the blank: A practical add is the dioptric working distance minus ____ the accommodative amplitude. ||| half
Why does a Fresnel membrane prism reduce lens weight? ||| It is a thin press-on sheet instead of ground-in prism mass
Quick question: why does a Fresnel membrane prism reduce lens weight? ||| It is a thin press-on sheet instead of ground-in prism mass
Exam prep: why does a Fresnel membrane prism reduce lens weight? ||| It is a thin press-on sheet instead of ground-in prism mass
Why does a Fresnel membrane prism reduce lens weight? (A) It is a thin press-on sheet instead of ground-in prism mass (B) Tamsulosin (C) Randot (D) uveoscleral ||| A
Why does a Fresnel membrane prism reduce lens weight? (A) Misdirected (B) before 6 months (C) It is a thin press-on sheet instead of ground-in prism mass (D) accommodative ||| C
True or false: Fresnel prisms are thin press-on sheets that avoid grinding prism into the lens. ||| true
True or false: Fresnel prisms are ESR press-on sheets that avoid grinding prism into the lens. ||| false
Fill in the blank: Fresnel prisms are ____ press-on sheets that avoid grinding prism into the lens. ||| thin
What do polarized sunglass lenses remove? ||| Horizontally polarized glare from surfaces like water and roads
Quick question: what do polarized sunglass lenses remove? ||| Horizontally polarized glare from surfaces like water and roads
Exam prep: what do polarized sunglass lenses remove? ||| Horizontally polarized glare from surfaces like water and roads
What do polarized sunglass lenses remove? (A) Ethambutol (B) Horizontally polarized glare from surfaces like water and roads (C) sclera (D) Latanoprost ||| B
What do polarized sunglass lenses remove? (A) Lipid (B) Horizontally polarized glare from surfaces like water and roads (C) 1 millimeter (D) CN V1 ||| B
True or false: Polarized lenses block horizontally polarized glare such as water reflections. ||| true
True or false: Polarized lenses block under-minused polarized glare such as water reflections. ||| false
Fill in the blank: Polarized lenses block ____ polarized glare such as water reflections. ||| Horizontally
What is contrast sensitivity testing used for? ||| Detecting vision loss when high contrast acuity is still normal
Quick question: what is contrast sensitivity testing used for? ||| Detecting vision loss when high contrast acuity is still normal
Exam prep: what is contrast sensitivity testing used for? ||| Detecting vision loss when high contrast acuity is still normal
What is contrast sensitivity testing used for? (A) Detecting vision loss when high contrast acuity is still normal (B) painless (C) latent (D) Lattice ||| A
What is contrast sensitivity testing used for? (A) Detecting vision loss when high contrast acuity is still normal (B) Lattice (C) Beta blockers (D) Retinoscopy ||| A
True or false: Contrast sensitivity can reveal loss when standard acuity looks normal. ||| true
True or false: sicca sensitivity can reveal loss when standard acuity looks normal. ||| false
Fill in the blank: ____ sensitivity can reveal loss when standard acuity looks normal. ||| Contrast
What is a normal Pelli-Robson contrast sensitivity score? ||| About 1.65 log units or better
Quick question: what is a normal Pelli-Robson contrast sensitivity score? ||| About 1.65 log units or better
Exam prep: what is a normal Pelli-Robson contrast sensitivity score? ||| About 1.65 log units or better
What is a normal Pelli-Robson contrast sensitivity score? (A) regular collagen lattice (B) 8 to 12 (C) probe (D) About 1.65 log units or better ||| D
What is a normal Pelli-Robson contrast sensitivity score? (A) giant papillary (B) Glaucoma (C) About 1.65 log units or better (D) Cones ||| C
True or false: Normal Pelli-Robson contrast sensitivity is about 1.65 log units or better. ||| true
True or false: Normal Pelli-Robson contrast sensitivity is about accommodative log units or better. ||| false
Fill in the blank: Normal Pelli-Robson contrast sensitivity is about ____ log units or better. ||| 1.65
What does the potential acuity meter estimate? ||| The acuity the retina could achieve through a media opacity
Quick question: what does the potential acuity meter estimate? ||| The acuity the retina could achieve through a media opacity
Exam prep: what does the potential acuity meter estimate? ||| The acuity the retina could achieve through a media opacity
What does the potential acuity meter estimate? (A) lid hygiene (B) Staphylococcus (C) The acuity the retina could achieve through a media opacity (D) iridotomy ||| C
What does the potential acuity meter estimate? (A) Epithelial (B) Six (C) The acuity the retina could achieve through a media opacity (D) eyelid margins ||| C
True or false: The potential acuity meter estimates retinal potential through media opacity. ||| true
True or false: The potential acuity meter estimates retinal potential through canal of Schlemm. ||| false
Fill in the blank: The potential acuity meter estimates retinal potential through ____. ||| media opacity
How is Snellen acuity defined? ||| The test distance over the distance at which the letter subtends 5 minutes of arc
Quick question: how is Snellen acuity defined? ||| The test distance over the distance at which the letter subtends 5 minutes of arc
Exam prep: how is Snellen acuity defined? ||| The test distance over the distance at which the letter subtends 5 minutes of arc
How is Snellen acuity defined? (A) Nuclear (B) The test distance over the distance at which the letter subtends 5 minutes of arc (C) objective (D) Kayser-Fleischer ||| B
How is Snellen acuity defined? (A) The test distance over the distance at which the letter subtends 5 minutes of arc (B) iridotomy (C) Apraclonidine (D) copper ||| A
True or false: Snellen acuity is test distance divided by the distance where the letter subtends 5 minutes. ||| true
True or false: Snellen acuity is test distance divided by the distance where the letter subtends preauricular. ||| false
Fill in the blank: Snellen acuity is test distance divided by the distance where the letter subtends ____. ||| 5 minutes
What does a keratometer measure? ||| Corneal curvature from the size of reflected mire images over about a 3 millimeter zone
Quick question: what does a keratometer measure? ||| Corneal curvature from the size of reflected mire images over about a 3 millimeter zone
Exam prep: what does a keratometer measure? ||| Corneal curvature from the size of reflected mire images over about a 3 millimeter zone
What does a keratometer measure? (A) giant papillary (B) deposits (C) Corneal curvature from the size of reflected mire images over about a 3 millimeter zone (D) Monocular ||| C
What does a keratometer measure? (A) vertex (B) CCTV (C) Corneal curvature from the size of reflected mire images over about a 3 millimeter zone (D) Anti-VEGF ||| C
True or false: A keratometer infers corneal curvature from reflected mire image size. ||| true
True or false: A keratometer infers corneal curvature from reflected depth of focus image size. ||| false
Fill in the blank: A keratometer infers corneal curvature from reflected ____ image size. ||| mire
What happens to sagittal depth when base curve steepens? ||| It increases
Quick question: what happens to sagittal depth when base curve steepens? ||| It increases
Exam prep: what happens to sagittal depth when base curve steepens? ||| It increases
What happens to sagittal depth when base curve steepens? (A) Scleritis (B) 3.06 (C) It increases (D) strongest plus ||| C
What happens to sagittal depth when base curve steepens? (A) salmon patch (B) It increases (C) iris (D) Microaneurysms ||| B
True or false: Sagittal depth increases as the base curve steepens. ||| true
True or false: Sagittal depth 1.50 as the base curve steepens. ||| false
Fill in the blank: Sagittal depth ____ as the base curve steepens. ||| increases
What happens to sagittal depth when lens diameter increases? ||| It increases
Quick question: what happens to sagittal depth when lens diameter increases? ||| It increases
Exam prep: what happens to sagittal depth when lens diameter increases? ||| It increases
What happens to sagittal depth when lens diameter increases? (A) neovascularization (B) fenofibrate (C) It increases (D) disparity ||| C
What happens to sagittal depth when lens diameter increases? (A) It increases (B) Painful (C) increases (D) extraction ||| A
True or false: Sagittal depth increases with larger lens diameter. ||| true
True or false: Sagittal depth 5 minutes with larger lens diameter. ||| false
Fill in the blank: Sagittal depth ____ with larger lens diameter. ||| increases
What is the near point of convergence on average? ||| About 6 to 10 centimeters from the bridge of the nose
Quick question: what is the near point of convergence on average? ||| About 6 to 10 centimeters from the bridge of the nose
Exam prep: what is the near point of convergence on average? ||| About 6 to 10 centimeters from the bridge of the nose
What is the near point of convergence on average? (A) About 6 to 10 centimeters from the bridge of the nose (B) retroillumination (C) 0.0 (D) edge lift ||| A
What is the near point of convergence on average? (A) closest point (B) 0.5 to 1 (C) flare (D) About 6 to 10 centimeters from the bridge of the nose ||| D
True or false: The average near point of convergence is 6 to 10 centimeters. ||| true
True or false: The average near point of convergence is iris darkening centimeters. ||| false
Fill in the blank: The average near point of convergence is ____ centimeters. ||| 6 to 10
What is normal positive fusional vergence at near roughly? ||| Break near 24 prism diopters base out
Quick question: what is normal positive fusional vergence at near roughly? ||| Break near 24 prism diopters base out
Exam prep: what is normal positive fusional vergence at near roughly? ||| Break near 24 prism diopters base out
What is normal positive fusional vergence at near roughly? (A) 5 minutes (B) denominator (C) axis (D) Break near 24 prism diopters base out ||| D
What is normal positive fusional vergence at near roughly? (A) Tropicamide (B) cherry red (C) calcarine (D) Break near 24 prism diopters base out ||| D
True or false: Normal near positive fusional vergence breaks around 24 prism diopters base out. ||| true
True or false: Normal near positive fusional vergence breaks around Aspirin prism diopters base out. ||| false
Fill in the blank: Normal near positive fusional vergence breaks around ____ prism diopters base out. ||| 24
What does Sheard's criterion require? ||| Compensating fusional reserve of at least twice the heterophoria
Quick question: what does Sheard's criterion require? ||| Compensating fusional reserve of at least twice the heterophoria
Exam prep: what does Sheard's criterion require? ||| Compensating fusional reserve of at least twice the heterophoria
What does Sheard's criterion require? (A) Compensating fusional reserve of at least twice the heterophoria (B) HOTV (C) Ethambutol (D) lipid ||| A
What does Sheard's criterion require? (A) phoria (B) nicking (C) Compensating fusional reserve of at least twice the heterophoria (D) forties ||| C
True or false: Sheard's criterion demands fusional reserves of at least twice the phoria. ||| true
True or false: Sheard's criterion demands fusional reserves of at least Children the phoria. ||| false
Fill in the blank: Sheard's criterion demands fusional reserves of at least ____ the phoria. ||| twice
What is fixational eye movement called when the eye drifts slowly? ||| Drift, with microsaccades correcting it
Quick question: what is fixational eye movement called when the eye drifts slowly? ||| Drift, with microsaccades correcting it
Exam prep: what is fixational eye movement called when the eye drifts slowly? ||| Drift, with microsaccades correcting it
What is fixational eye movement called when the eye drifts slowly? (A) cover test (B) fourth nerve (C) Drift, with microsaccades correcting it (D) reflex ||| C
What is fixational eye movement called when the eye drifts slowly? (A) 2 to 6 (B) family history (C) Drift, with microsaccades correcting it (D) cold compresses ||| C
True or false: Slow fixational drift is corrected by microsaccades. ||| true
True or false: Slow fixational Ethambutol is corrected by microsaccades. ||| false
Fill in the blank: Slow fixational ____ is corrected by microsaccades. ||| Drift
What is the purpose of the duochrome test endpoint? ||| Balance red and green clarity to avoid over-minusing
Quick question: what is the purpose of the duochrome test endpoint? ||| Balance red and green clarity to avoid over-minusing
Exam prep: what is the purpose of the duochrome test endpoint? ||| Balance red and green clarity to avoid over-minusing
What is the purpose of the duochrome test endpoint? (A) opacity (B) Balance red and green clarity to avoid over-minusing (C) goblet (D) Topiramate ||| B
What is the purpose of the duochrome test endpoint? (A) Balance red and green clarity to avoid over-minusing (B) alternating (C) Extorsion (D) ESR ||| A
True or false: Duochrome balances red and green to avoid over-minusing. ||| true
True or false: Duochrome balances red and green to avoid Viral. ||| false
Fill in the blank: Duochrome balances red and green to avoid ____. ||| over-minusing
What is the near point of accommodation? ||| The closest point that stays in clear focus at maximum accommodation
Quick question: what is the near point of accommodation? ||| The closest point that stays in clear focus at maximum accommodation
Exam prep: what is the near point of accommodation? ||| The closest point that stays in clear focus at maximum accommodation
What is the near point of accommodation? (A) facial (B) The closest point that stays in clear focus at maximum accommodation (C) retroillumination (D) myopic ||| B
What is the near point of accommodation? (A) 0.5 to 1 (B) do not divide (C) painless (D) The closest point that stays in clear focus at maximum accommodation ||| D
True or false: The near point of accommodation is the closest clearly focused point. ||| true
What does Hofstetter's formula give for average amplitude of accommodation? ||| 18.5 minus 0.3 times age in years
Quick question: what does Hofstetter's formula give for average amplitude of accommodation? ||| 18.5 minus 0.3 times age in years
Exam prep: what does Hofstetter's formula give for average amplitude of accommodation? ||| 18.5 minus 0.3 times age in years
What does Hofstetter's formula give for average amplitude of accommodation? (A) 18.5 minus 0.3 times age in years (B) Grade 2 (C) Descemet's membrane (D) Six ||| A
What does Hofstetter's formula give for average amplitude of accommodation? (A) toxicity (B) eyelid margins (C) sphincter (D) 18.5 minus 0.3 times age in years ||| D
True or false: Hofstetter's average amplitude formula is 18.5 minus 0.3 times age. ||| true
True or false: Hofstetter's average amplitude formula is iridotomy minus 0.3 times age. ||| false
Fill in the blank: Hofstetter's average amplitude formula is ____ minus 0.3 times age. ||| 18.5
What is the first step of a standard subjective refraction? ||| Monocular best vision sphere after retinoscopy or autorefraction
Quick question: what is the first step of a standard subjective refraction? ||| Monocular best vision sphere after retinoscopy or autorefraction
Exam prep: what is the first step of a standard subjective refraction? ||| Monocular best vision sphere after retinoscopy or autorefraction
What is the first step of a standard subjective refraction? (A) Monocular best vision sphere after retinoscopy or autorefraction (B) perimetry (C) Reducing minus (D) iris darkening ||| A
What is the first step of a standard subjective refraction? (A) thin (B) Extorsion (C) Monocular best vision sphere after retinoscopy or autorefraction (D) 2.50 ||| C
True or false: Subjective refraction starts with monocular best vision sphere. ||| true
True or false: Subjective refraction starts with doubled best vision sphere. ||| false
Fill in the blank: Subjective refraction starts with ____ best vision sphere. ||| Monocular
Why do you refract monocularly before binocular balancing? ||| To find each eye's endpoint before fusion changes accommodation
Quick question: why do you refract monocularly before binocular balancing? ||| To find each eye's endpoint before fusion changes accommodation
Exam prep: why do you refract monocularly before binocular balancing? ||| To find each eye's endpoint before fusion changes accommodation
Why do you refract monocularly before binocular balancing? (A) 540 (B) To find each eye's endpoint before fusion changes accommodation (C) Intorsion (D) Fatigable ||| B
Why do you refract monocularly before binocular balancing? (A) half (B) sicca (C) To find each eye's endpoint before fusion changes accommodation (D) Phenylephrine ||| C
True or false: Monocular refraction finds each endpoint before fusion alters accommodation. ||| true
True or false: Monocular refraction finds each endpoint before atopy alters accommodation. ||| false
Fill in the blank: Monocular refraction finds each endpoint before ____ alters accommodation. ||| fusion
What does the phrase maximum plus maximum VA mean? ||| The strongest plus power that still preserves best visual acuity
Quick question: what does the phrase maximum plus maximum VA mean? ||| The strongest plus power that still preserves best visual acuity
Exam prep: what does the phrase maximum plus maximum VA mean? ||| The strongest plus power that still preserves best visual acuity
What does the phrase maximum plus maximum VA mean? (A) The strongest plus power that still preserves best visual acuity (B) apex (C) over-minused (D) iris darkening ||| A
What does the phrase maximum plus maximum VA mean? (A) CN III (B) under-minused (C) plus 6 (D) The strongest plus power that still preserves best visual acuity ||| D
True or false: Maximum plus maximum VA is the strongest plus that keeps best acuity. ||| true
True or false: Maximum plus maximum VA is the instability that keeps best acuity. ||| false
Fill in the blank: Maximum plus maximum VA is the ____ that keeps best acuity. ||| strongest plus
Why must the phoropter be level with the pupil? ||| Tilt induces unwanted cylinder and prismatic effects
Quick question: why must the phoropter be level with the pupil? ||| Tilt induces unwanted cylinder and prismatic effects
Exam prep: why must the phoropter be level with the pupil? ||| Tilt induces unwanted cylinder and prismatic effects
Why must the phoropter be level with the pupil? (A) Lisch (B) optic nerve (C) Tilt induces unwanted cylinder and prismatic effects (D) 1.2 million ||| C
Why must the phoropter be level with the pupil? (A) difference (B) Vitamin A (C) Tilt induces unwanted cylinder and prismatic effects (D) Office based ||| C
True or false: A level phoropter avoids induced cylinder and prism from tilt. ||| true
True or false: A level phoropter avoids induced cylinder and prism from Cyclophosphamide. ||| false
Fill in the blank: A level phoropter avoids induced cylinder and prism from ____. ||| Tilt
What order do you refine astigmatism in subjective refraction? ||| Axis first with the JCC, then cylinder power, then finalize sphere
Quick question: what order do you refine astigmatism in subjective refraction? ||| Axis first with the JCC, then cylinder power, then finalize sphere
Exam prep: what order do you refine astigmatism in subjective refraction? ||| Axis first with the JCC, then cylinder power, then finalize sphere
What order do you refine astigmatism in subjective refraction? (A) Thin (B) atopy (C) Axis first with the JCC, then cylinder power, then finalize sphere (D) Panretinal ||| C
What order do you refine astigmatism in subjective refraction? (A) larger (B) Axis first with the JCC, then cylinder power, then finalize sphere (C) Thick (D) Red ||| B
True or false: Subjective astigmatism refinement runs axis, then power, then sphere. ||| true
True or false: Subjective astigmatism refinement runs accommodative, then power, then sphere. ||| false
Fill in the blank: Subjective astigmatism refinement runs ____, then power, then sphere. ||| Axis
What is a binocular balance for? ||| Equalizing accommodative state between the two eyes
Quick question: what is a binocular balance for? ||| Equalizing accommodative state between the two eyes
Exam prep: what is a binocular balance for? ||| Equalizing accommodative state between the two eyes
What is a binocular balance for? (A) Ciliary flush (B) twice (C) Equalizing accommodative state between the two eyes (D) sulfa ||| C
What is a binocular balance for? (A) Thin (B) Equalizing accommodative state between the two eyes (C) meibomian (D) Effective power ||| B
True or false: Binocular balance equalizes accommodation between both eyes. ||| true
Which test dissociates the eyes vertically for balance? ||| Vertical prism dissociated balance with a 3 to 4 prism diopter base up
